YEAR,REGION,STRAT,PROT,PRIMARY_SAMPLE_UNIT,CRY ROSE,SCA GUAC,SCA ISER,SCA TAEN,SCA VETU,SPA ATOM,SPA AURO,SPA CHRY,SPA RADI,SPA RUBR,SPA VIRI
2021,STTSTJ,PVMT_DEEP,0,5044,6.5,0,0,1,0,15,0.5,0,0,0,0
2021,STTSTJ,PVMT_DEEP,0,5051,0,0,0,0.5,0,0,0,0,0,0,0.5
2021,STTSTJ,PVMT_DEEP,0,5053,0,0,0.5,0,0,0.5,0.5,0,1,0,0
2021,STTSTJ,PVMT_DEEP,0,5089,2.5,0,0.5,0,0,0,2,0,0,0,0
2021,STTSTJ,PVMT_DEEP,0,5291,0,0,0,0,0,0,0,0,0,0,0
2021,STTSTJ,PVMT_DEEP,0,5332,2.5,0,17.5,0,0,0,5,0,0,0,0
2021,STTSTJ,PVMT_DEEP,0,5408,0,0,0,0,0,1.5,1.5,0,1.5,0,0
2021,STTSTJ,PVMT_DEEP,0,5449,0,0,8,0,0,0,13.5,0,0,0,0
2021,STTSTJ,PVMT_DEEP,0,5457,0,0,10,0,0,0,13.5,0,0,3,2
2021,STTSTJ,PVMT_DEEP,0,5466,0,0,11.5,2.5,0,0,3,0,0,0,0
2021,STTSTJ,PVMT_DEEP,0,5469,0,0,0,0,0,0,3.5,0.5,0,0,0
2021,STTSTJ,PVMT_SHLW,0,5100,0,0,4.5,0,0,0,15,0,0,0,0.5
2021,STTSTJ,PVMT_SHLW,0,5118,0,0,9.5,5,1,0,0.5,1.5,0,2.5,1
2021,STTSTJ,PVMT_SHLW,0,5240,0,0,5,0,0,0,0.5,0,1,0,0.5
2021,STTSTJ,PVMT_SHLW,0,5268,0,0,7,0,0,0,0,0,0,0,3
2021,STTSTJ,PVMT_SHLW,0,5285,0,0,20,1,0,0,5,4.5,0,0.5,0
2021,STTSTJ,PVMT_SHLW,0,5356,0,0,1.5,0,0,0,8.5,0,1,6,0.5
2021,STTSTJ,PVMT_SHLW,0,5374,0,0,21.5,0,0,0,13,0,0,0,3
2021,STTSTJ,PVMT_SHLW,0,5381,0,0,6,0,0,0,0,0,0,0,0
2021,STTSTJ,PVMT_SHLW,0,5432,0,0,0,0,0,0,10.5,0,0,1.5,1.5
2021,STTSTJ,PVMT_SHLW,0,5444,0,0,8.5,0,0,0,13,0,0,0.5,6
2021,STTSTJ,PVMT_SHLW,0,5451,0,0,0,1.5,0,0,3,1.5,0.5,0.5,0
2021,STTSTJ,PVMT_SHLW,0,5459,0,0,0.5,5,0,1.5,7,0,0,0,2
2021,STTSTJ,PVMT_SHLW,0,5467,0,0,0,0,0,0,3.5,0,0,0,0
2021,STTSTJ,PVMT_SHLW,0,5468,0,0,0,0,0,1,0.5,0,0,0,0
2021,STTSTJ,SCR_DEEP,0,5102,4.5,0,0,0,0,6,0,0,0.5,0,0
2021,STTSTJ,SCR_DEEP,0,5130,0,0,0,0,0,0,0,0,0,0,0
2021,STTSTJ,SCR_DEEP,0,5140,0,0,0,0,0,0,0,0,0,0,0
2021,STTSTJ,SCR_DEEP,0,5197,0,0,0,0,0,0,1.5,0,0,0,0
2021,STTSTJ,SCR_DEEP,0,5235,1,0,0,0,0,0,1,0,0,0,0
2021,STTSTJ,SCR_DEEP,0,5308,0,0,0,0,0,0,0,0,0.5,0,0
2021,STTSTJ,SCR_SHLW,0,5113,0,0,0,0,0,0,0.5,0,0,0,7.5
2021,STTSTJ,SCR_SHLW,0,5250,0,0,7,0,0,0,0.5,0,0,0,2
2021,STTSTJ,SCR_SHLW,0,5362,0,0,2.5,2.5,0,0,1.5,0.5,0,0.5,0
2021,STTSTJ,SCR_SHLW,0,5363,0.5,0,16,0,0,0,2,0,0,0,0.5
2021,STTSTJ,SCR_SHLW,0,5383,0,0,7.5,0,0,0,0,0,0,0,0
2021,STTSTJ,SCR_SHLW,0,5416,0,0,16.5,0,0,0,11,0,0,0,1.5
